Método usado: C-GRASP

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	21
2	1.000000000000000e+00	21
3	1.000000000000000e+00	21
4	1.000000000000000e+00	21
5	1.000000000000000e+00	21
6	1.000000000000000e+00	21
7	1.000000000000000e+00	21
8	1.000000000000000e+00	21
9	1.000000000000000e+00	21
10	1.000000000000000e+00	21
11	1.000000000000000e+00	21
12	1.000000000000000e+00	21
13	1.000000000000000e+00	21
14	1.000000000000000e+00	21
15	1.000000000000000e+00	21
16	1.000000000000000e+00	21
17	1.000000000000000e+00	21
18	1.000000000000000e+00	21
19	1.000000000000000e+00	21
20	1.000000000000000e+00	21
21	1.000000000000000e+00	21
22	1.000000000000000e+00	21
23	1.000000000000000e+00	21
24	1.000000000000000e+00	21
25	1.000000000000000e+00	21
26	1.000000000000000e+00	21
27	1.000000000000000e+00	21
28	1.000000000000000e+00	21
29	1.000000000000000e+00	21
30	1.000000000000000e+00	21
31	1.000000000000000e+00	21
32	1.000000000000000e+00	21
33	1.000000000000000e+00	21
34	1.000000000000000e+00	21
35	1.000000000000000e+00	21
36	1.000000000000000e+00	21
37	1.000000000000000e+00	21
38	1.000000000000000e+00	21
39	1.000000000000000e+00	21
40	1.000000000000000e+00	21
41	1.000000000000000e+00	21
42	1.000000000000000e+00	21
43	1.000000000000000e+00	21
44	1.000000000000000e+00	21
45	1.000000000000000e+00	21
46	1.000000000000000e+00	21
47	1.000000000000000e+00	21
48	1.000000000000000e+00	21
49	1.000000000000000e+00	21
50	1.000000000000000e+00	21
51	1.000000000000000e+00	21
52	1.000000000000000e+00	21
53	1.000000000000000e+00	21
54	1.000000000000000e+00	21
55	1.000000000000000e+00	21
56	1.000000000000000e+00	21
57	1.000000000000000e+00	21
58	1.000000000000000e+00	21
59	1.000000000000000e+00	21
60	1.000000000000000e+00	21
61	1.000000000000000e+00	21
62	1.000000000000000e+00	21
63	1.000000000000000e+00	21
64	1.000000000000000e+00	21
65	1.000000000000000e+00	21
66	1.000000000000000e+00	21
67	1.000000000000000e+00	21
68	1.000000000000000e+00	21
69	1.000000000000000e+00	21
70	1.000000000000000e+00	21
71	1.000000000000000e+00	21
72	1.000000000000000e+00	21
